0 info it worked if it ends with ok
1 verbose cli [ '/usr/bin/node', '/usr/bin/npm', 'install' ]
2 info using npm@3.5.2
3 info using node@v8.10.0
4 verbose config Skipping project config: /home/glauberc/.npmrc. (matches userconfig)
5 silly loadCurrentTree Starting
6 silly install loadCurrentTree
7 silly install readLocalPackageData
8 silly install normalizeTree
9 silly loadCurrentTree Finishing
10 silly loadIdealTree Starting
11 silly install loadIdealTree
12 silly cloneCurrentTree Starting
13 silly install cloneCurrentTreeToIdealTree
14 silly cloneCurrentTree Finishing
15 silly loadShrinkwrap Starting
16 silly install loadShrinkwrap
17 silly loadShrinkwrap Finishing
18 silly loadAllDepsIntoIdealTree Starting
19 silly install loadAllDepsIntoIdealTree
20 silly loadAllDepsIntoIdealTree Finishing
21 silly idealTree:prePrune glauberc
21 silly idealTree:prePrune ├── @types/node@8.10.38
21 silly idealTree:prePrune ├── ajv@6.6.1
21 silly idealTree:prePrune ├── ansi-regex@2.1.1
21 silly idealTree:prePrune ├── array-find-index@1.0.2
21 silly idealTree:prePrune ├── asn1@0.2.4
21 silly idealTree:prePrune ├── assert-plus@1.0.0
21 silly idealTree:prePrune ├── asynckit@0.4.0
21 silly idealTree:prePrune ├── aws-sign2@0.7.0
21 silly idealTree:prePrune ├── aws4@1.8.0
21 silly idealTree:prePrune ├── bcrypt-pbkdf@1.0.2
21 silly idealTree:prePrune ├── buffer-from@1.1.1
21 silly idealTree:prePrune ├── builtin-modules@1.1.1
21 silly idealTree:prePrune ├── camelcase-keys@2.1.0
21 silly idealTree:prePrune ├── camelcase@2.1.1
21 silly idealTree:prePrune ├── caseless@0.12.0
21 silly idealTree:prePrune ├── code-point-at@1.1.0
21 silly idealTree:prePrune ├── combined-stream@1.0.7
21 silly idealTree:prePrune ├─┬ concat-stream@1.6.2
21 silly idealTree:prePrune │ ├── isarray@1.0.0
21 silly idealTree:prePrune │ ├── readable-stream@2.3.6
21 silly idealTree:prePrune │ └── string_decoder@1.1.1
21 silly idealTree:prePrune ├── core-util-is@1.0.2
21 silly idealTree:prePrune ├── currently-unhandled@0.4.1
21 silly idealTree:prePrune ├── dashdash@1.14.1
21 silly idealTree:prePrune ├── debug@3.2.6
21 silly idealTree:prePrune ├── decamelize@1.2.0
21 silly idealTree:prePrune ├── deep-extend@0.6.0
21 silly idealTree:prePrune ├── delayed-stream@1.0.0
21 silly idealTree:prePrune ├── ecc-jsbn@0.1.2
21 silly idealTree:prePrune ├── electron-download@4.1.1
21 silly idealTree:prePrune ├── electron@3.0.10
21 silly idealTree:prePrune ├── env-paths@1.0.0
21 silly idealTree:prePrune ├── error-ex@1.3.2
21 silly idealTree:prePrune ├── extend@3.0.2
21 silly idealTree:prePrune ├─┬ extract-zip@1.6.7
21 silly idealTree:prePrune │ ├── debug@2.6.9
21 silly idealTree:prePrune │ └── ms@2.0.0
21 silly idealTree:prePrune ├── extsprintf@1.3.0
21 silly idealTree:prePrune ├── fast-deep-equal@2.0.1
21 silly idealTree:prePrune ├── fast-json-stable-stringify@2.0.0
21 silly idealTree:prePrune ├── fd-slicer@1.0.1
21 silly idealTree:prePrune ├─┬ find-up@1.1.2
21 silly idealTree:prePrune │ └── path-exists@2.1.0
21 silly idealTree:prePrune ├── forever-agent@0.6.1
21 silly idealTree:prePrune ├── form-data@2.3.3
21 silly idealTree:prePrune ├── fs-extra@4.0.3
21 silly idealTree:prePrune ├── get-stdin@4.0.1
21 silly idealTree:prePrune ├── getpass@0.1.7
21 silly idealTree:prePrune ├── graceful-fs@4.1.15
21 silly idealTree:prePrune ├── har-schema@2.0.0
21 silly idealTree:prePrune ├── har-validator@5.1.3
21 silly idealTree:prePrune ├── hosted-git-info@2.7.1
21 silly idealTree:prePrune ├── http-signature@1.2.0
21 silly idealTree:prePrune ├── indent-string@2.1.0
21 silly idealTree:prePrune ├── inherits@2.0.3
21 silly idealTree:prePrune ├── ini@1.3.5
21 silly idealTree:prePrune ├── is-arrayish@0.2.1
21 silly idealTree:prePrune ├── is-builtin-module@1.0.0
21 silly idealTree:prePrune ├── is-finite@1.0.2
21 silly idealTree:prePrune ├── is-fullwidth-code-point@1.0.0
21 silly idealTree:prePrune ├── is-typedarray@1.0.0
21 silly idealTree:prePrune ├── is-utf8@0.2.1
21 silly idealTree:prePrune ├── isarray@0.0.1
21 silly idealTree:prePrune ├── isstream@0.1.2
21 silly idealTree:prePrune ├── jsbn@0.1.1
21 silly idealTree:prePrune ├── json-schema-traverse@0.4.1
21 silly idealTree:prePrune ├── json-schema@0.2.3
21 silly idealTree:prePrune ├── json-stringify-safe@5.0.1
21 silly idealTree:prePrune ├── jsonfile@4.0.0
21 silly idealTree:prePrune ├── jsprim@1.4.1
21 silly idealTree:prePrune ├── load-json-file@1.1.0
21 silly idealTree:prePrune ├── loud-rejection@1.6.0
21 silly idealTree:prePrune ├── map-obj@1.0.1
21 silly idealTree:prePrune ├── meow@3.7.0
21 silly idealTree:prePrune ├── mime-db@1.37.0
21 silly idealTree:prePrune ├── mime-types@2.1.21
21 silly idealTree:prePrune ├── minimist@1.2.0
21 silly idealTree:prePrune ├─┬ mkdirp@0.5.1
21 silly idealTree:prePrune │ └── minimist@0.0.8
21 silly idealTree:prePrune ├── ms@2.1.1
21 silly idealTree:prePrune ├── normalize-package-data@2.4.0
21 silly idealTree:prePrune ├─┬ nugget@2.0.1
21 silly idealTree:prePrune │ ├── debug@2.6.9
21 silly idealTree:prePrune │ └── ms@2.0.0
21 silly idealTree:prePrune ├── number-is-nan@1.0.1
21 silly idealTree:prePrune ├── oauth-sign@0.9.0
21 silly idealTree:prePrune ├── object-assign@4.1.1
21 silly idealTree:prePrune ├── object-keys@0.4.0
21 silly idealTree:prePrune ├── parse-json@2.2.0
21 silly idealTree:prePrune ├── path-exists@3.0.0
21 silly idealTree:prePrune ├── path-type@1.1.0
21 silly idealTree:prePrune ├── pend@1.2.0
21 silly idealTree:prePrune ├── performance-now@2.1.0
21 silly idealTree:prePrune ├── pify@2.3.0
21 silly idealTree:prePrune ├── pinkie-promise@2.0.1
21 silly idealTree:prePrune ├── pinkie@2.0.4
21 silly idealTree:prePrune ├── pretty-bytes@1.0.4
21 silly idealTree:prePrune ├── process-nextick-args@2.0.0
21 silly idealTree:prePrune ├── progress-stream@1.2.0
21 silly idealTree:prePrune ├── psl@1.1.29
21 silly idealTree:prePrune ├── punycode@2.1.1
21 silly idealTree:prePrune ├── qs@6.5.2
21 silly idealTree:prePrune ├── rc@1.2.8
21 silly idealTree:prePrune ├── read-pkg-up@1.0.1
21 silly idealTree:prePrune ├── read-pkg@1.1.0
21 silly idealTree:prePrune ├── readable-stream@1.1.14
21 silly idealTree:prePrune ├── redent@1.0.0
21 silly idealTree:prePrune ├── repeating@2.0.1
21 silly idealTree:prePrune ├── request@2.88.0
21 silly idealTree:prePrune ├── safe-buffer@5.1.2
21 silly idealTree:prePrune ├── safer-buffer@2.1.2
21 silly idealTree:prePrune ├── semver@5.6.0
21 silly idealTree:prePrune ├── signal-exit@3.0.2
21 silly idealTree:prePrune ├── single-line-log@1.1.2
21 silly idealTree:prePrune ├── spdx-correct@3.1.0
21 silly idealTree:prePrune ├── spdx-exceptions@2.2.0
21 silly idealTree:prePrune ├── spdx-expression-parse@3.0.0
21 silly idealTree:prePrune ├── spdx-license-ids@3.0.2
21 silly idealTree:prePrune ├── speedometer@0.1.4
21 silly idealTree:prePrune ├── sshpk@1.15.2
21 silly idealTree:prePrune ├── string_decoder@0.10.31
21 silly idealTree:prePrune ├── string-width@1.0.2
21 silly idealTree:prePrune ├── strip-ansi@3.0.1
21 silly idealTree:prePrune ├── strip-bom@2.0.0
21 silly idealTree:prePrune ├── strip-indent@1.0.1
21 silly idealTree:prePrune ├── strip-json-comments@2.0.1
21 silly idealTree:prePrune ├─┬ sumchecker@2.0.2
21 silly idealTree:prePrune │ ├── debug@2.6.9
21 silly idealTree:prePrune │ └── ms@2.0.0
21 silly idealTree:prePrune ├── throttleit@0.0.2
21 silly idealTree:prePrune ├── through2@0.2.3
21 silly idealTree:prePrune ├─┬ tough-cookie@2.4.3
21 silly idealTree:prePrune │ └── punycode@1.4.1
21 silly idealTree:prePrune ├── trim-newlines@1.0.0
21 silly idealTree:prePrune ├── tunnel-agent@0.6.0
21 silly idealTree:prePrune ├── tweetnacl@0.14.5
21 silly idealTree:prePrune ├── typedarray@0.0.6
21 silly idealTree:prePrune ├── universalify@0.1.2
21 silly idealTree:prePrune ├── uri-js@4.2.2
21 silly idealTree:prePrune ├── util-deprecate@1.0.2
